vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS EMITIDOS,479.0,100.0,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
TOTAL DE VOTOS VÁLIDOS,184.0,71.04,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
VOTOS EN BLANCO,60.0,23.17,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
VOTOS NULOS,15.0,5.79,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
TOTAL DE VOTOS EMITIDOS,259.0,100.0,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
TOTAL DE VOTOS VÁLIDOS,332.0,64.34,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
VOTOS EN BLANCO,148.0,28.68,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
VOTOS NULOS,36.0,6.98,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
TOTAL DE VOTOS EMITIDOS,516.0,100.0,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
TOTAL DE VOTOS VÁLIDOS,183.0,82.81,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
VOTOS EN BLANCO,28.0,12.67,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
VOTOS NULOS,10.0,4.52,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
TOTAL DE VOTOS EMITIDOS,221.0,100.0,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
TOTAL DE VOTOS VÁLIDOS,332.0,78.49,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
VOTOS EN BLANCO,73.0,17.26,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
VOTOS NULOS,18.0,4.26,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
TOTAL DE VOTOS EMITIDOS,423.0,100.0,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
TOTAL DE VOTOS VÁLIDOS,688.0,71.37,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
VOTOS EN BLANCO,221.0,22.93,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
VOTOS NULOS,55.0,5.71,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
TOTAL DE VOTOS EMITIDOS,964.0,100.0,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
TOTAL DE VOTOS VÁLIDOS,172.0,81.52,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
VOTOS EN BLANCO,27.0,12.8,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
VOTOS NULOS,12.0,5.69,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
TOTAL DE VOTOS EMITIDOS,211.0,100.0,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
TOTAL DE VOTOS VÁLIDOS,10520.0,62.39,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
VOTOS EN BLANCO,5069.0,30.06,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
VOTOS NULOS,1272.0,7.54,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
TOTAL DE VOTOS EMITIDOS,16861.0,100.0,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
TOTAL DE VOTOS VÁLIDOS,2765.0,69.02,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
VOTOS EN BLANCO,853.0,21.29,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
VOTOS NULOS,388.0,9.69,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
TOTAL DE VOTOS EMITIDOS,4006.0,100.0,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
TOTAL DE VOTOS VÁLIDOS,5165.0,60.64,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
VOTOS EN BLANCO,2758.0,32.38,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
